DimItem_ItemCode_,DimItem_BPItemCode_,DimItem_ItemDesc_,ItemCategory,ItemGroupCode,ItemGroupDesc,ProductFamilyCode,ProductFamilyDesc,ItemModelGroupCode,OrigCountryRegionId,ItemModelGroupDesc,Sub_Brand,PackagingGroupCode,Grade,UnitCode_Sales,TaxItemGroupCode_Sales,CaseVolume,ContainerVolume,PackSize,PackagingQty,Pkg_or_Bulk,ProductStatus,DimItem_IsPFLItem_,DimItem_CreatedDateTime_,DimItem_ModifiedDateTime_
4410302OP3,4410302OP3,"Obsolete -Ser fee - Wakefield 3% Moly Grease, 17Kg(80543-2C)",,PSI,Sub-Contracted Services,OTHR,Other (Bypass BI),TPSC,,Third Party Sub-Contracting,,PAIL,,PL,ALLTAX,0,-1,,0,Package,Obsolete,False,4/5/2019 11:50:00 AM,4/22/2026 1:30:00 PM
4410318,4410318,"Wakefield 3% Moly Grease, 54.43kg (80397-2/3M)",LUBES,FG,Finished Goods,WAKE,Wakefield,GRS,,Grease,Wakefield,KEG,NOGD,KE,EHCCG55U,54.43,54.43,PACK,1,Package,Active,False,1/24/2019 1:21:00 PM,3/20/2026 4:13:00 PM
4410318OP3,4410318,"Service fee- Wakefield 3% Moly Grease, 54.43kg(80543-2C)",,PSI,Sub-Contracted Services,OTHR,Other (Bypass BI),TPSC,,Third Party Sub-Contracting,,KEG,,KE,ALLTAX,55.9717,55.9717,,1,Package,Active,False,4/5/2019 10:46:00 AM,7/14/2022 8:00:00 PM
4410359,4410359,"OBSOLETE - Wakefield 3% Moly Grease, 1X17 kg(80543-2C)",LUBES,FG,Finished Goods,WAKE,Wakefield,GRS,,Grease,Wakefield,PAIL,NOGD,PL,ALLTAX,17.3,17.3,PACK,1,Package,Obsolete,False,2/7/2020 9:49:00 AM,3/15/2021 9:53:00 AM
4410381,4410381,"Wakefield 3% Moly Grease, 4X10X400g (80397-2/3M)",LUBES,FG,Finished Goods,WAKE,Wakefield,GRS,,Grease,Wakefield,CASE,NOGD,CA,EHCCG50U,16,0.4,PACK,40,Package,Active,False,1/24/2019 1:17:00 PM,3/20/2026 4:15:00 PM
4500900,4500900,"Wakefield Full Synthetic 5W20, Bulk",LUBES,FG,Finished Goods,WAKE,Wakefield,SYN,CAN,Synthetic Motor Oil,Wakefield,BULK,5W20,LT,EHCP,1,1,BULK,1,Bulk,Active,False,8/5/2025 10:42:00 AM,9/26/2025 10:58:00 AM
4500900R,4500900R,"Wakefield Full Synthetic 5W20, Bulk (21G520S)",,FG,Finished Goods,WAKE,Wakefield,SYN,CAN,Synthetic Motor Oil,,BULK,,LT,EHCP,1,1,,1,Bulk,Active,False,8/5/2025 11:04:00 AM,8/25/2025 3:40:00 PM
4501100,4501100,"Wakefield Full Synthetic 5W30, Bulk",LUBES,FG,Finished Goods,WAKE,Wakefield,SYN,CAN,Synthetic Motor Oil,Wakefield,BULK,5W30,LT,EHCP,1,1,BULK,1,Bulk,Active,False,8/5/2025 10:38:00 AM,9/26/2025 10:58:00 AM
4501100R,4501100R,"Wakefield Full Synthetic 5W30, Bulk (MUHP53BLK)",,FG,Finished Goods,WAKE,Wakefield,SYN,CAN,Synthetic Motor Oil,,BULK,,LT,EHCP,1,1,,1,Bulk,Active,False,8/5/2025 11:00:00 AM,8/25/2025 3:40:00 PM
4501700,4501700,"Wakefield Full Synthetic 0W20, Bulk",LUBES,FG,Finished Goods,WAKE,Wakefield,SYN,CAN,Synthetic Motor Oil,Wakefield,BULK,0W20,LT,EHCP,1,1,BULK,1,Bulk,Active,False,8/5/2025 10:33:00 AM,9/26/2025 11:00:00 AM
